date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2020-2-15,Kenya,0.0,,0.0,0.0,
2020-2-16,Kenya,0.0,,0.0,0.0,
2020-2-17,Kenya,0.0,,0.0,0.0,
2020-2-18,Kenya,0.0,,0.0,0.0,
2020-2-19,Kenya,0.0,,0.0,0.0,
2020-2-20,Kenya,0.0,,0.0,0.0,
2020-2-21,Kenya,0.0,,0.0,0.0,
2020-2-22,Kenya,0.0,,0.0,0.0,
2020-2-23,Kenya,0.0,,0.0,0.0,
2020-2-24,Kenya,0.0,,0.0,0.0,
2020-2-25,Kenya,0.0,,0.0,0.0,
2020-2-26,Kenya,0.0,,0.0,0.0,
2020-2-27,Kenya,0.0,,0.0,0.0,
2020-2-28,Kenya,0.0,,0.0,0.0,
2020-2-29,Kenya,0.0,,0.0,0.0,
2020-3-01,Kenya,0.0,,0.0,0.0,
2020-3-02,Kenya,0.0,,0.0,0.0,
2020-3-03,Kenya,0.0,,0.0,0.0,
2020-3-04,Kenya,0.0,,0.0,0.0,
2020-3-05,Kenya,0.0,,0.0,0.0,
2020-3-06,Kenya,0.0,,0.0,0.0,
2020-3-07,Kenya,0.0,,0.0,0.0,
2020-3-08,Kenya,0.0,,0.0,0.0,
2020-3-09,Kenya,0.0,,0.0,0.0,
2020-3-10,Kenya,0.0,,0.0,0.0,
2020-3-11,Kenya,0.0,,0.0,0.0,
2020-3-12,Kenya,0.0,,0.0,0.0,
2020-3-13,Kenya,1.0,,1.0,0.0,
2020-3-14,Kenya,1.0,0.0,1.0,0.0,
2020-3-15,Kenya,3.0,2.0,3.0,0.0,
2020-3-16,Kenya,3.0,0.0,3.0,0.0,
2020-3-17,Kenya,4.0,1.0,4.0,0.0,
2020-3-18,Kenya,7.0,3.0,7.0,0.0,
2020-3-19,Kenya,7.0,0.0,7.0,0.0,
2020-3-20,Kenya,7.0,0.0,7.0,0.0,
2020-3-21,Kenya,7.0,0.0,7.0,0.0,
2020-3-22,Kenya,15.0,8.0,15.0,0.0,
2020-3-23,Kenya,16.0,1.0,16.0,0.0,
2020-3-24,Kenya,25.0,9.0,25.0,0.0,
2020-3-25,Kenya,28.0,3.0,27.0,0.0,
2020-3-26,Kenya,31.0,3.0,29.0,1.0,
2020-3-27,Kenya,31.0,0.0,29.0,1.0,0.0
2020-3-28,Kenya,38.0,7.0,36.0,1.0,0.0
2020-3-29,Kenya,42.0,4.0,40.0,1.0,0.0
2020-3-30,Kenya,50.0,8.0,48.0,1.0,0.0
2020-3-31,Kenya,59.0,9.0,57.0,1.0,0.0
2020-4-01,Kenya,81.0,22.0,76.0,1.0,0.0
2020-4-02,Kenya,110.0,29.0,102.0,3.0,2.0
2020-4-03,Kenya,122.0,12.0,113.0,4.0,1.0
2020-4-04,Kenya,126.0,4.0,117.0,4.0,0.0
2020-4-05,Kenya,142.0,16.0,133.0,4.0,0.0
2020-4-06,Kenya,158.0,16.0,147.0,6.0,2.0
2020-4-07,Kenya,172.0,14.0,157.0,6.0,0.0
2020-4-08,Kenya,179.0,7.0,161.0,6.0,0.0
2020-4-09,Kenya,184.0,5.0,161.0,7.0,1.0
2020-4-10,Kenya,189.0,5.0,153.0,7.0,0.0
2020-4-11,Kenya,191.0,2.0,152.0,7.0,0.0
2020-4-12,Kenya,197.0,6.0,156.0,8.0,1.0
