country_x,date,daily_vaccinations_x,country_y,daily_vaccinations_y,country_x,daily_vaccinations_x,country_y,daily_vaccinations_y
England,2020-12-29,0.0,Scotland,3233.0,0,0.0,0,0.0
England,2020-12-30,114086.0,Scotland,2891.0,0,0.0,0,0.0
England,2020-12-31,104448.0,Scotland,3090.0,0,0.0,0,0.0
England,2021-01-01,78247.0,Scotland,3093.0,0,0.0,0,0.0
England,2021-01-02,67361.0,Scotland,3094.0,0,0.0,0,0.0
England,2021-01-03,57920.0,Scotland,3077.0,Wales,0.0,Northern Ireland,0.0
England,2021-01-04,54426.0,Scotland,3060.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-05,61727.0,Scotland,3343.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-06,69769.0,Scotland,3795.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-07,96548.0,Scotland,4788.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-08,137058.0,Scotland,6468.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-09,149645.0,Scotland,6779.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-10,164310.0,Scotland,7044.0,Wales,5048.0,Northern Ireland,7143.0
England,2021-01-11,179094.0,Scotland,8623.0,Wales,5072.0,Northern Ireland,7197.0
England,2021-01-12,190824.0,Scotland,9573.0,Wales,5800.0,Northern Ireland,7574.0
England,2021-01-13,201938.0,Scotland,10372.0,Wales,6738.0,Northern Ireland,8332.0
England,2021-01-14,201564.0,Scotland,11173.0,Wales,7933.0,Northern Ireland,9044.0
England,2021-01-15,203749.0,Scotland,11956.0,Wales,8423.0,Northern Ireland,8530.0
England,2021-01-16,225806.0,Scotland,14265.0,Wales,8913.0,Northern Ireland,7964.0
England,2021-01-17,230525.0,Scotland,14651.0,Wales,9403.0,Northern Ireland,7826.0
England,2021-01-18,234877.0,Scotland,15667.0,Wales,10123.0,Northern Ireland,7852.0
England,2021-01-19,251122.0,Scotland,17018.0,Wales,10672.0,Northern Ireland,7306.0
England,2021-01-20,261507.0,Scotland,18277.0,Wales,11105.0,Northern Ireland,6404.0
England,2021-01-21,272972.0,Scotland,19282.0,Wales,12318.0,Northern Ireland,5674.0
England,2021-01-22,287384.0,Scotland,20060.0,Wales,15148.0,Northern Ireland,5664.0
England,2021-01-23,311226.0,Scotland,20803.0,Wales,17371.0,Northern Ireland,5396.0
England,2021-01-24,317419.0,Scotland,21750.0,Wales,17063.0,Northern Ireland,5089.0
England,2021-01-25,326745.0,Scotland,22213.0,Wales,18279.0,Northern Ireland,4525.0
England,2021-01-26,320880.0,Scotland,22087.0,Wales,19537.0,Northern Ireland,4379.0
England,2021-01-27,311182.0,Scotland,22729.0,Wales,20845.0,Northern Ireland,4668.0
England,2021-01-28,308977.0,Scotland,22830.0,Wales,21463.0,Northern Ireland,6665.0
England,2021-01-29,310733.0,Scotland,23593.0,Wales,19705.0,Northern Ireland,7312.0
England,2021-01-30,325853.0,Scotland,23520.0,Wales,19885.0,Northern Ireland,8656.0
England,2021-01-31,339126.0,Scotland,23258.0,Wales,20824.0,Northern Ireland,9152.0
England,2021-02-01,345688.0,Scotland,25023.0,Wales,21508.0,Northern Ireland,10314.0
England,2021-02-02,351581.0,Scotland,27047.0,Wales,21530.0,Northern Ireland,11539.0
England,2021-02-03,369879.0,Scotland,29277.0,Wales,22149.0,Northern Ireland,12866.0
England,2021-02-04,376532.0,Scotland,32727.0,Wales,23101.0,Northern Ireland,11583.0
England,2021-02-05,371631.0,Scotland,35107.0,Wales,25788.0,Northern Ireland,12601.0
England,2021-02-06,358628.0,Scotland,39398.0,Wales,26854.0,Northern Ireland,12028.0
England,2021-02-07,349729.0,Scotland,41967.0,Wales,27089.0,Northern Ireland,12074.0
England,2021-02-08,345669.0,Scotland,45894.0,Wales,27364.0,Northern Ireland,12412.0
England,2021-02-09,347421.0,Scotland,48631.0,Wales,27921.0,Northern Ireland,12801.0
England,2021-02-10,341974.0,Scotland,51223.0,Wales,28015.0,Northern Ireland,13231.0
England,2021-02-11,342023.0,Scotland,53593.0,Wales,27897.0,Northern Ireland,14384.0
England,2021-02-12,347321.0,Scotland,55814.0,Wales,27743.0,Northern Ireland,14327.0
