date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2020-2-15,UK,9.0,,1.0,0.0,
2020-2-16,UK,9.0,0.0,1.0,0.0,
2020-2-17,UK,9.0,0.0,1.0,0.0,
2020-2-18,UK,9.0,0.0,1.0,0.0,
2020-2-19,UK,9.0,0.0,1.0,0.0,
2020-2-20,UK,9.0,0.0,1.0,0.0,0.0
2020-2-21,UK,9.0,0.0,1.0,0.0,0.0
2020-2-22,UK,9.0,0.0,1.0,0.0,0.0
2020-2-23,UK,13.0,4.0,5.0,0.0,0.0
2020-2-24,UK,13.0,0.0,5.0,0.0,0.0
2020-2-25,UK,13.0,0.0,5.0,0.0,0.0
2020-2-26,UK,13.0,0.0,5.0,0.0,0.0
2020-2-27,UK,16.0,3.0,8.0,0.0,0.0
2020-2-28,UK,20.0,4.0,12.0,0.0,0.0
2020-2-29,UK,23.0,3.0,15.0,0.0,0.0
2020-3-01,UK,35.0,12.0,27.0,0.0,0.0
2020-3-02,UK,38.0,3.0,30.0,0.0,0.0
2020-3-03,UK,49.0,11.0,41.0,0.0,0.0
2020-3-04,UK,82.0,33.0,74.0,0.0,0.0
2020-3-05,UK,108.0,26.0,89.0,1.0,1.0
2020-3-06,UK,151.0,43.0,132.0,1.0,0.0
2020-3-07,UK,192.0,41.0,172.0,2.0,1.0
2020-3-08,UK,254.0,62.0,234.0,2.0,0.0
2020-3-09,UK,293.0,39.0,272.0,3.0,1.0
2020-3-10,UK,349.0,56.0,324.0,7.0,4.0
2020-3-11,UK,419.0,70.0,394.0,7.0,0.0
2020-3-12,UK,536.0,117.0,509.0,9.0,2.0
2020-3-13,UK,725.0,189.0,697.0,10.0,1.0
2020-3-14,UK,1034.0,309.0,988.0,28.0,18.0
2020-3-15,UK,1262.0,228.0,1200.0,42.0,14.0
2020-3-16,UK,1399.0,137.0,1283.0,64.0,22.0
2020-3-17,UK,1767.0,368.0,1623.0,79.0,15.0
2020-3-18,UK,2379.0,612.0,2202.0,112.0,33.0
2020-3-19,UK,2961.0,582.0,2742.0,154.0,42.0
2020-3-20,UK,3607.0,646.0,3356.0,186.0,32.0
2020-3-21,UK,4543.0,936.0,4210.0,240.0,54.0
2020-3-22,UK,5145.0,602.0,4788.0,264.0,24.0
2020-3-23,UK,6020.0,875.0,5554.0,331.0,67.0
2020-3-24,UK,7310.0,1290.0,6701.0,474.0,143.0
2020-3-25,UK,8623.0,1313.0,7836.0,652.0,178.0
2020-3-26,UK,10548.0,1925.0,9535.0,878.0,226.0
