country,date,daily vaccinations,people fully vaccinated
UK,2020-12-10,0.0,1.0
UK,2020-12-11,5265.0,1.0
UK,2020-12-12,3692.0,1.0
UK,2020-12-13,2831.0,1.0
UK,2020-12-14,3543.0,1.0
UK,2020-12-15,4296.0,1.0
UK,2020-12-16,4770.0,1.0
UK,2020-12-17,5096.0,1.0
UK,2020-12-18,5552.0,3.0
UK,2020-12-19,5727.0,3.0
UK,2020-12-20,5929.0,3.0
UK,2020-12-21,6479.0,4.0
UK,2020-12-22,7113.0,6.0
UK,2020-12-23,7533.0,9.0
UK,2020-12-24,6928.0,9.0
UK,2020-12-25,5721.0,9.0
UK,2020-12-26,5244.0,9.0
UK,2020-12-27,4951.0,9.0
UK,2020-12-28,3836.0,10.0
UK,2020-12-29,3233.0,2292.0
UK,2020-12-30,116977.0,6577.0
UK,2020-12-31,107538.0,11380.0
UK,2021-01-01,81340.0,12478.0
UK,2021-01-02,70455.0,17178.0
UK,2021-01-03,60997.0,22280.0
UK,2021-01-04,69677.0,30262.0
UK,2021-01-05,77261.0,78369.0
UK,2021-01-06,85755.0,160402.0
UK,2021-01-07,113527.0,240037.0
UK,2021-01-08,155717.0,300011.0
UK,2021-01-09,168615.0,0.0
UK,2021-01-10,183545.0,391399.0
UK,2021-01-11,199986.0,412167.0
UK,2021-01-12,213771.0,428232.0
UK,2021-01-13,227380.0,437977.0
UK,2021-01-14,229714.0,443234.0
UK,2021-01-15,232658.0,447313.0
UK,2021-01-16,256948.0,449933.0
UK,2021-01-17,262405.0,452301.0
UK,2021-01-18,268519.0,456866.0
UK,2021-01-19,286118.0,460625.0
UK,2021-01-20,297293.0,464036.0
UK,2021-01-21,310246.0,466796.0
UK,2021-01-22,328256.0,468617.0
UK,2021-01-23,354796.0,469660.0
UK,2021-01-24,361321.0,470478.0
UK,2021-01-25,371762.0,472446.0
UK,2021-01-26,366883.0,474156.0
UK,2021-01-27,359424.0,476485.0
UK,2021-01-28,359935.0,478254.0
UK,2021-01-29,361343.0,480432.0
UK,2021-01-30,377914.0,491053.0
UK,2021-01-31,392360.0,494209.0
UK,2021-02-01,402533.0,496796.0
UK,2021-02-02,411697.0,498962.0
UK,2021-02-03,434171.0,501957.0
UK,2021-02-04,443943.0,505993.0
UK,2021-02-05,445127.0,510057.0
