Country,total_cases,total_deaths
Bahamas,20984.0,531.0
Saint Helena,2.0,
Syria,34205.0,2247.0
British Virgin Islands,2642.0,37.0
Russia,7511026.0,207255.0
Djibouti,12811.0,167.0
Mali,15219.0,548.0
Dominica,3481.0,20.0
Romania,1233668.0,37143.0
Slovakia,412507.0,12637.0
Austria,743095.0,11009.0
Togo,25429.0,229.0
Japan,1703823.0,17605.0
Chad,5038.0,174.0
Guatemala,560315.0,13564.0
Zimbabwe,130820.0,4623.0
Saint Barthelemy,1578.0,4.0
Martinique,41129.0,608.0
Western Sahara,10.0,1.0
Albania,170131.0,2698.0
Antigua And Barbuda,3231.0,79.0
Sint Maarten,4283.0,66.0
Sweden,1153492.0,14872.0
Kenya,249434.0,5123.0
Philippines,2549921.0,38294.0
Caribbean Netherlands,2096.0,19.0
Yemen,9067.0,1721.0
Georgia,613012.0,8946.0
Bosnia And Herzegovina,234775.0,10606.0
Belgium,1242821.0,25595.0
Finland,141552.0,1072.0
Papua New Guinea,20221.0,229.0
Mauritius,15222.0,84.0
Norway,189431.0,861.0
Ireland,391375.0,5249.0
Cabo Verde,37576.0,339.0
Slovenia,293365.0,4561.0
Tonga,0.0,
Libya,340084.0,4651.0
Ukraine,2423379.0,56274.0
China Hong Kong Sar,12218.0,213.0
Jamaica,83737.0,1869.0
Cote D Ivoire,60253.0,624.0
New Caledonia,7428.0,119.0
Aruba,15500.0,166.0
Belarus,538086.0,4143.0
Iceland,11801.0,33.0
Greece,655767.0,14828.0
Myanmar,464076.0,17735.0
Bhutan,2601.0,3.0
China Macao Sar,71.0,
Swaziland,45924.0,1220.0
Switzerland,837438.0,11116.0
Poland,2907070.0,75650.0
Thailand,1603475.0,16727.0
Croatia,404790.0,8640.0
Rwanda,97517.0,1273.0
Maldives,84809.0,231.0
Kazakhstan,884886.0,11178.0
Bermuda,5244.0,72.0
Brunei Darussalam,7116.0,49.0
Montserrat,34.0,1.0
Guyana,31827.0,786.0
Equatorial Guinea,12362.0,147.0
Sri Lanka,517377.0,12906.0
Niger,6008.0,201.0
Falkland Islands Malvinas,67.0,
Congo,14244.0,193.0
Morocco,933071.0,14267.0
Isle Of Man,7582.0,52.0
Samoa,3.0,
Panama,467113.0,7228.0
Barbados,8381.0,74.0
Vanuatu,4.0,1.0
Andorra,15222.0,130.0
Czech Republic,1692324.0,30527.0
Laos,23846.0,19.0
USA,44373862.0,725858.0
Timor Leste,19498.0,117.0
Turkey,7154070.0,64054.0
Israel,1285450.0,7761.0
Senegal,73775.0,1858.0
Tunisia,708996.0,24890.0
State Of Palestine,403716.0,4098.0
South Africa,2920220.0,87626.0
Lebanon,624230.0,8325.0
Saint Vincent And The Grenadines,3508.0,21.0
Monaco,3314.0,33.0
Netherlands,2003050.0,18170.0
Central African Republic,11371.0,100.0
Madagascar,43597.0,958.0
Malta,37149.0,457.0
Lithuania,331720.0,4996.0
Gibraltar,5549.0,97.0
Reunion,53682.0,366.0
Belize,20801.0,414.0
Indonesia,4215104.0,141939.0
Mozambique,150723.0,1917.0
Curacao,16500.0,163.0
Serbia,941989.0,8234.0
San Marino,5431.0,91.0
Chile,1654264.0,37468.0
Qatar,236643.0,606.0
French Guiana,41113.0,267.0
Turks And Caicos Islands,2844.0,23.0
Sao Tome And Principe,3459.0,50.0
El Salvador,105345.0,3234.0
Iran,5587040.0,120428.0
Uzbekistan,173895.0,1239.0
South Sudan,12010.0,130.0
Gambia,9934.0,338.0
Tajikistan,17084.0,124.0
Mauritania,36030.0,775.0
Luxembourg,78219.0,835.0
Anguilla,409.0,1.0
Bangladesh,1555911.0,27510.0
Mexico,3655395.0,276972.0
Grenada,5140.0,139.0
Jordan,823919.0,10718.0
Macedonia,191408.0,6668.0
Latvia,158291.0,2717.0
Bahrain,275057.0,1389.0
Argentina,5256902.0,115179.0
Faeroe Islands,1178.0,2.0
Zambia,209046.0,3648.0
Honduras,365994.0,9777.0
Comoros,4141.0,147.0
Estonia,156256.0,1357.0
Namibia,127589.0,3511.0
South Korea,311289.0,2481.0
Cyprus,120196.0,553.0
Hungary,822705.0,30190.0
Spain,4959091.0,86415.0
Saudi Arabia,547134.0,8716.0
Cameroon,92303.0,1459.0
Ghana,127482.0,1156.0
France,7013432.0,116713.0
Micronesia,1.0,
Paraguay,460217.0,16290.0
Oman,303769.0,4096.0
Venezuela,368968.0,4469.0
Marshall Islands,4.0,
Portugal,1069279.0,17975.0
China,96128.0,4636.0
Denmark,358796.0,2656.0
Ethiopia,345674.0,5582.0
Suriname,41631.0,884.0
Ecuador,510177.0,32784.0
India,33765488.0,448372.0
Brazil,21427073.0,596800.0
Holy See,27.0,
Trinidad And Tobago,50709.0,1482.0
Saint Lucia,11459.0,201.0
Egypt,304524.0,17331.0
Canada,1623243.0,27853.0
Guinea,30411.0,379.0
Nepal,795061.0,11135.0
Costa Rica,532185.0,6386.0
Lesotho,21262.0,632.0
Italy,4672703.0,130929.0
Iraq,2003303.0,22260.0
Haiti,21916.0,611.0
Azerbaijan,483902.0,6525.0
Nicaragua,14448.0,204.0
Nigeria,205779.0,2721.0
UK,7807394.0,136662.0
Australia,105123.0,1291.0
Moldova,294392.0,6777.0
Burkina Faso,14243.0,184.0
Solomon Islands,20.0,
Bolivia,500090.0,18764.0
Angola,57247.0,1548.0
Wallis And Futuna Islands,445.0,7.0
Kuwait,411655.0,2449.0
Guadeloupe,53585.0,708.0
New Zealand,4273.0,27.0
Saint Kitts And Nevis,1918.0,13.0
Malaysia,2245695.0,26335.0
United Arab Emirates,735992.0,2097.0
Pakistan,1245127.0,27729.0
Montenegro,131499.0,1923.0
Dominican Republic,359047.0,4046.0
Armenia,261697.0,5319.0
Liechtenstein,3447.0,60.0
Bulgaria,502162.0,20882.0
Sudan,38313.0,2902.0
Uruguay,388928.0,6055.0
Seychelles,21347.0,115.0
Taiwan,16223.0,842.0
Afghanistan,155191.0,7206.0
Algeria,203359.0,5812.0
Cambodia,112651.0,2319.0
Saint Pierre And Miquelon,31.0,
Cayman Islands,840.0,2.0
Uganda,123572.0,3156.0
Kyrgyzstan,178532.0,2607.0
Eritrea,6722.0,42.0
Colombia,4957277.0,126299.0
Tanzania,25846.0,719.0
Channel Islands,11636.0,97.0
Mongolia,304084.0,1277.0
Peru,2176321.0,199395.0
Benin,23890.0,159.0
Somalia,19980.0,1111.0
Viet Nam,810785.0,19301.0
Guinea Bissau,6107.0,140.0
Botswana,179220.0,2368.0
Sierra Leone,6394.0,121.0
French Polynesia,45181.0,621.0
Gabon,30155.0,186.0
Germany,4241706.0,94575.0
Burundi,17728.0,38.0
Fiji,51023.0,624.0
Saint Martin,3748.0,55.0
Malawi,61580.0,2282.0
Mayotte,20274.0,178.0
